Market,Constant,Price,EngineSize,SportsBike,Brand2,Brand3,z1,z2,z3,z4,shares
1,1,1.5547079832893,3,1,0,0,0.2376849439667,0.063115500736637,0.034360818037759,0.056458927758282,0.239077032609355
1,1,1.55981075126367,5,1,0,0,0.002033259571763,0.186072668335016,0.326444937855332,0.062091052878291,0.072183965560874
1,1,1.85718569086848,3,1,1,0,0.164549952259638,0.033308279692293,0.075316044420089,0.278735776212958,0.000460430886372
1,1,1.99543827160457,5,1,0,1,0.48553772777426,0.117024545732161,0.345849996540631,0.0848906720632,0.587867145812494
1,1,4.01798697286682,7.5,1,0,1,0.582502994821806,0.36803228775243,0.652134313560089,0.509692803751457,0.033745567973398
1,1,4.14366745962363,10,1,0,1,0.564395655677797,0.442613441252587,0.169726680698863,0.905535316789783,0.021860054038113
1,1,2.82340681462737,10,0,0,1,0.275783908315563,0.264169591799869,0.504074306090937,0.583464976895385,0.036455531039107
1,1,6.55832477909465,12,0,0,1,1.18368597163898,0.528303158814338,0.315870079107922,1.03928636690521,0.000510356196041
2,1,2.33036826786438,5,1,0,0,0.316674835549182,0.217231112205134,0.29473865747061,0.171832019114461,0.014331669680018
2,1,1.15211799196435,5,1,1,0,0.25338807988963,0.023139792620047,0.490511302527329,0.286931200641616,0.245308125675164
2,1,3.19664412484217,7.5,0,1,0,0.678739085033493,0.059794683191683,0.523684600705421,0.288760604373899,0.001368052146398
2,1,2.915176224911,10,0,1,0,0.071956078719679,0.747519819808822,0.953260667692919,0.241472394739314,0.025723492925995
2,1,1.88836089146019,5,1,0,1,0.402971978973953,0.317495133932276,0.005696946349604,0.214667696785818,0.485401826350807
2,1,2.13839319350614,5,1,0,1,0.153157017258007,0.087688101614987,0.233098985652636,0.057793071585742,0.150636123722307
2,1,2.35072163707022,6.5,0,0,1,0.365960248964495,0.49722744260317,0.127900404606545,0.292384278119479,0.029230980073739
2,1,3.58498167412075,10,0,0,1,0.909171580128096,0.432737199625856,0.040336404491099,0.700233174860213,0.0268660818805
3,1,2.19888407982178,7.5,1,0,0,0.002974477554322,0.387624535374964,0.396611483727151,0.063224735492786,0.447491420927831
3,1,1.51648434428342,5,1,1,0,0.198516983754469,0.25668263901563,0.384536869309624,0.495489714057317,0.018149030213892
3,1,2.02492046944346,7.5,0,1,0,0.103399467885675,0.40767629485467,0.669583583980304,0.642783450518456,0.019373058958259
3,1,2.84234519156213,5,1,0,1,0.290839949944701,0.422841257054596,0.100259165178905,0.124767286022555,0.010893239289843
3,1,1.5425052803132,6.5,0,0,1,0.316889711426081,0.383292353029102,0.033600794175439,0.051566531065718,0.418765828474762
3,1,3.54790175503919,7.5,1,0,1,0.410035588529178,0.19803201759655,0.400699091558523,0.532005320056031,0.00672329736972
3,1,3.75595800374403,12,0,0,1,1.01193290420093,0.618470466837105,0.805948698489665,0.083078373211088,0.066092919677576
4,1,1.57932286153505,3,1,0,0,0.272012971656656,0.118192702332452,0.268250344500841,0.052850970748148,0.059719759371093
4,1,2.0558736601129,5,1,0,0,0.463198696252847,0.470972569528697,0.370025934146997,0.251608110137041,0.531135553530299
4,1,1.75550052400628,5,1,1,0,0.33052487621886,0.402409950695661,0.329372992998569,0.152886909310727,0.113779121837722
4,1,2.95833523770851,7.5,0,1,0,0.169625264179661,0.535661715611043,0.505419149808794,0.589790392868432,0.009333355571646
4,1,2.6163972751069,10,0,1,0,0.039758916188698,0.05500519456441,0.920691668360604,0.099719200709394,0.025437303994515
4,1,1.53860336293352,5,1,0,1,0.080929465076149,0.009404846989996,0.302048918545466,0.223167389621523,0.107730234614025
4,1,1.28310871100243,6.5,0,0,1,0.119774499786377,0.00428657955744,0.442922320776777,0.143145699144078,0.144562469145337
5,1,2.07934202216759,5,1,0,0,0.291951086526886,0.237125274346513,0.337219665986576,0.495270810579797,0.011946290897865
5,1,1.38342856386733,7.5,1,0,0,0.171643617057978,0.484248519104367,0.363296913660878,0.290583791283658,0.149903678807617
5,1,1.4772578819428,3,1,1,0,0.089109225716499,0.279644944478868,0.188748803237408,0.039617357252376,0.005659784884064
5,1,0.935081170567474,5,1,1,0,0.058548772768377,0.169607934571563,0.009716422585426,0.116949522610857,0.195805548943248
5,1,2.98717789255274,5,1,0,1,0.487038238738142,0.193353571232386,0.065886467374579,0.436809402936,0.005691227239178
5,1,3.14744964042882,7.5,1,0,1,0.578580081449522,0.419050270619794,0.049267534595747,0.296156299547478,0.009002366554719
5,1,2.07751207416144,10,0,0,1,0.532636288553093,0.093264803604806,0.32658531407832,0.25896590989186,0.601689758176182
5,1,4.3876083205274,12,0,0,1,0.399989337117975,0.136357935094178,0.588287516025194,0.976681853243409,0.012436401704496
6,1,1.39175183267078,3,1,0,0,0.083281448288297,0.074865685838564,0.087797169167764,0.22426347369458,0.301359355709623
6,1,1.92174610525995,3,1,1,0,0.211334871410305,0.082367706227087,0.004769617996281,0.052461763959177,0.029965328044113
6,1,3.0198869823476,5,1,0,1,0.305104121039181,0.065496488820852,0.442082292062592,0.181810025176013,0.003271427351546
6,1,2.66455249797042,7.5,1,0,1,0.268822531558182,0.120224482597463,0.42392112451908,0.040603017129545,0.568699389390454
7,1,1.10433561340586,5,1,1,0,0.135128215119794,0.008432894771441,0.382109315499433,0.285414213448302,0.338996908976622
7,1,2.27120593965528,10,0,1,0,0.328270390585763,0.935844491790555,0.251530407051159,0.148091581367261,0.070671026847279
7,1,1.833091491619,5,1,0,1,0.037854403144848,0.147132366410624,0.075221419441972,0.176913821736534,0.372031629861593
7,1,3.25587000292586,6.5,0,0,1,0.418299972686512,0.567029057185901,0.088051858748646,0.089248524970016,0.002247675912538
7,1,3.40587713242695,12,0,0,1,0.041099955705924,0.011209914209513,0.969661903135647,0.605542471822394,0.202763672699335
8,1,1.21159441818008,3,1,0,0,0.265651454153248,0.035914561977304,0.269633214426037,0.237998263809836,0.276955378493446
8,1,2.35755067603909,7.5,1,0,0,0.58351955479008,0.412654478255084,0.575326806781098,0.2319828497414,0.090547961525207
8,1,2.21831647521583,5,1,1,0,0.446544064497102,0.111660586965005,0.248518267603519,0.28743451338128,0.034465401270068
8,1,3.37551420253076,7.5,0,1,0,0.33545457409025,0.082608422512392,0.522167903340861,0.634312950833272,0.000757807522094
8,1,2.20605054727171,10,0,1,0,0.22193685637386,0.050684807568195,0.232697000507541,0.564673276601312,0.203321468637835
