regionno,regionname,year,gdpcap,sec.agriculture,sec.energy,sec.industry,sec.construction,sec.services.venta,sec.services.nonventa,school.illit,school.prim,school.med,school.high,school.post.high,popdens,invest
1,Spain (Espana),1955,2.3545416380057707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Spain (Espana),1956,2.480148581292622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Spain (Espana),1957,2.603613148754374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Spain (Espana),1958,2.63710359749335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Spain (Espana),1959,2.6698801388777316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Spain (Espana),1960,2.8699657502292872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Spain (Espana),1961,3.0474863539965145,19.540000915527344,4.710000038146973,26.420000076293945,6.269999980926514,36.619998931884766,6.440000057220459,NA,NA,NA,NA,NA,NA,NA
1,Spain (Espana),1962,3.2732791677266317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Spain (Espana),1963,3.493501935063754,19.049999237060547,4.309999942779541,26.049999237060547,6.829999923706055,38,5.769999980926514,NA,NA,NA,NA,NA,NA,NA
1,Spain (Espana),1964,3.600114279221004,NA,NA,NA,NA,NA,NA,2863.2783203125,18679.095703125,1064.2457275390625,359.7457275390625,212.14341735839844,NA,18.360183715820312
1,Spain (Espana),1965,3.7007998412283993,16.15999984741211,4.309999942779541,27.010000228881836,7.639999866485596,38.400001525878906,6.480000019073486,2826.321533203125,18805.349609375,1129.0311279296875,377.9471435546875,218,NA,20.573060989379883
1,Spain (Espana),1966,3.8234790234319216,NA,NA,NA,NA,NA,NA,2789.842041015625,18959.24609375,1201.23583984375,398.7253723144531,224.3354034423828,NA,22.26300048828125
1,Spain (Espana),1967,3.9396602540178254,14.119999885559082,4.139999866485596,26.739999771118164,7.670000076293945,39.56999969482422,7.760000228881836,2753.833251953125,19178.095703125,1285.103515625,422.26788330078125,231.97500610351562,NA,22.634765625
1,Spain (Espana),1968,4.173736005672486,NA,NA,NA,NA,NA,NA,2718.2890625,19319.001953125,1487.3807373046875,447.3210754394531,236.0500030517578,NA,23.11261558532715
1,Spain (Espana),1969,4.410525738460886,12.8100004196167,4.130000114440918,26.770000457763672,7.840000152587891,40.060001373291016,8.390000343322754,2683.203857421875,19459.55859375,1696.1468505859375,474.941162109375,252.25,66.339996337890625,23.823501586914062
1,Spain (Espana),1970,4.5916882285864755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.45126724243164
1,Spain (Espana),1971,4.769065876546433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.700725555419922
1,Spain (Espana),1972,5.0742643215219765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.083499908447266
1,Spain (Espana),1973,5.373536202268102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.411067962646484
1,Spain (Espana),1974,5.506783654028537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.054624557495117
1,Spain (Espana),1975,5.632604813105854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.15032958984375
1,Spain (Espana),1976,5.697443552679146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.43714141845703
1,Spain (Espana),1977,5.75949726905594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.735496520996094
1,Spain (Espana),1978,5.716652367599213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.069114685058594
1,Spain (Espana),1979,5.687232236799531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.066621780395508
1,Spain (Espana),1980,5.710796845432555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.907625198364258
1,Spain (Espana),1981,5.759925700636872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.121850967407227
1,Spain (Espana),1982,5.825264349694731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.204309463500977
1,Spain (Espana),1983,5.89353054191548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.444690704345703
1,Spain (Espana),1984,6.004213204012023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.782161712646484
1,Spain (Espana),1985,6.116395158721392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.41063690185547
1,Spain (Espana),1986,6.496501139183448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.960134506225586
1,Spain (Espana),1987,6.878177454321087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.297977447509766
1,Spain (Espana),1988,7.242930504091466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.825284957885742
1,Spain (Espana),1989,7.608540417023708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.47564125061035
1,Spain (Espana),1990,7.794915564024119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.356416702270508
1,Spain (Espana),1991,7.978435081606149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.146408081054688
1,Spain (Espana),1992,7.834903964380713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.43602752685547
1,Spain (Espana),1993,7.692087626191625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.374860763549805
1,Spain (Espana),1994,7.889888777592564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.257553100585938
1,Spain (Espana),1995,8.094829874221205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.206729888916016
1,Spain (Espana),1996,8.324049922678343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Spain (Espana),1997,8.670379542786883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Andalucia,1955,1.6887318301425598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Andalucia,1956,1.758497532896572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Andalucia,1957,1.827620697239405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Andalucia,1958,1.852756294309327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Andalucia,1959,1.8780348471865183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Andalucia,1960,2.0101399600114256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Andalucia,1961,2.1291774737770237,27.719999313354492,2.7799999713897705,18.450000762939453,6.96999979019165,36.630001068115234,7.449999809265137,NA,NA,NA,NA,NA,NA,NA
2,Andalucia,1962,2.280348445714729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Andalucia,1963,2.431019726088305,27.1299991607666,2.549999952316284,18.100000381469727,7.730000019073486,37.66999816894531,6.820000171661377,NA,NA,NA,NA,NA,NA,NA
2,Andalucia,1964,2.508854586817271,NA,NA,NA,NA,NA,NA,924.40301513671875,3028.127197265625,129.51210021972656,48.9593620300293,24.937973022460938,NA,17.4014949798584
2,Andalucia,1965,2.5846900275284073,24.520000457763672,2.6500000953674316,18.18000030517578,8.550000190734863,38.31999969482422,7.78000020980835,899.3489990234375,3036.81640625,136.17974853515625,51.777217864990234,25.75277328491211,NA,18.308963775634766
2,Andalucia,1966,2.694444348559452,NA,NA,NA,NA,NA,NA,874.78765869140625,3049.4423828125,143.5947265625,54.98322677612305,26.631202697753906,NA,18.42999267578125
2,Andalucia,1967,2.802342205379936,21.8700008392334,2.6500000953674316,18.219999313354492,8.539999961853027,39.08000183105469,9.649999618530273,850.7105712890625,3072.635986328125,152.23573303222656,58.61037826538086,27.67255401611328,NA,19.115657806396484
2,Andalucia,1968,2.9873607976543535,NA,NA,NA,NA,NA,NA,827.1092529296875,3086.955078125,174.59548950195312,62.49102783203125,28.29547119140625,NA,20.60848617553711
2,Andalucia,1969,3.1790917752572927,19.729999542236328,3.240000009536743,18.43000030517578,8.859999656677246,39.22999954223633,10.520000457763672,803.9754638671875,3100.572265625,197.27410888671875,66.77776336669922,30.383569717407227,68.51000213623047,22.05558967590332
2,Andalucia,1970,3.3543272653125893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.313762664794922
2,Andalucia,1971,3.5229220658634364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.317508697509766
2,Andalucia,1972,3.7562126501803057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.12729263305664
2,Andalucia,1973,3.9877178123493735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.80194854736328
2,Andalucia,1974,4.051842208727194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.646896362304688
2,Andalucia,1975,4.11218219878026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.757415771484375
2,Andalucia,1976,4.2217935640040345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.530261993408203
2,Andalucia,1977,4.331690840842349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.89835548400879
2,Andalucia,1978,4.305198689046433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.81292724609375
2,Andalucia,1979,4.226935178816097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.691680908203125
2,Andalucia,1980,4.211511206061661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.923221588134766
2,Andalucia,1981,4.207012456541435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.830726623535156
2,Andalucia,1982,4.249071536899056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.18537712097168
2,Andalucia,1983,4.291630962582119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.126863479614258
2,Andalucia,1984,4.358683337963707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.924806594848633
2,Andalucia,1985,4.426592576507159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.382495880126953
2,Andalucia,1986,4.663238917647414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.372650146484375
2,Andalucia,1987,4.900671079886774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.49320411682129
2,Andalucia,1988,5.159597170758132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.358566284179688
2,Andalucia,1989,5.417737876371261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.762292861938477
2,Andalucia,1990,5.585261162128901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.31832504272461
2,Andalucia,1991,5.74921447527269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.49245262145996
2,Andalucia,1992,5.641245358469009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.318729400634766
2,Andalucia,1993,5.534918490085422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.183673858642578
2,Andalucia,1994,5.638817288949809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.268390655517578
